"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"theobromine","Theobromine","HMDB0002825","5429","28946","C07480","1456","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"indolelactate","Indolelactic acid","HMDB0000671","676157","24813","C02043","5641","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"3-indoxyl sulfate","Indoxyl sulfate","HMDB0000682","10258","43355",NA,"524","OS(=O)(=O)OC1=CNC2=CC=CC=C12","1"
"gamma-glutamylphenylalanine","gamma-Glutamylphenylalanine","HMDB0000594","111299","89582",NA,"5573","N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O","1"
"4-methyl-2-oxopentanoate","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"1,5-anhydroglucitol (1,5-AG)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-GPC (O-16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5353956","392583","C06124","5272","CCCCCCCCCCCCC/C=C/C(C(COP(=O)(O)O)N)O","1"
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-GPI (18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1,2-dipalmitoyl-GPC (16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"docosahexaenoate (DHA; 22:6n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"alpha-hydroxyisocaproate","D-Leucic acid","HMDB0000624","439960","55534","C03264","5597","CC(C)C[C@H](C(=O)O)O","1"
"maleate","Maleic acid","HMDB0000176","444266","18300","C01384","4198","OC(=O)\C=C/C(O)=O","1"
"2-hydroxyoctanoate","Hydroxyoctanoic acid","HMDB0000711","94180","86543",NA,"5679","CCCCCCC(C(=O)O)O","1"
"3-hydroxyoctanoate","3-Hydroxyoctanoic acid","HMDB0001954","26613","37098",NA,NA,"CCCCCC(O)CC(=O)O","1"
"phenyllactate (PLA)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoylcarnitine (C16)","NA","NA","NA","NA","NA","NA","NA","0"
"hexanoylcarnitine (C6)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylaspartate (NAA)","NA","NA","NA","NA","NA","NA","NA","0"
"dehydroepiandrosterone sulfate (DHEA-S)","NA","NA","NA","NA","NA","NA","NA","0"
"acetylcarnitine (C2)","NA","NA","NA","NA","NA","NA","NA","0"
"cysteine s-sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoylglycerol (16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"tartronate (hydroxymalonate)","NA","NA","NA","NA","NA","NA","NA","0"
"oxalate (ethanedioate)","NA","NA","NA","NA","NA","NA","NA","0"
"erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"3-hydroxymyristate","3-Hydroxymyristate","HMDB0094672","16064","85148",NA,NA,"CCCCCCCCCCCC(O)CC(O)=O","1"
"iminodiacetate (IDA)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoylglycerol (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"3-methyl-2-oxobutyrate","Alpha-ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(=O)O","1"
"homoarginine","Homo-L-arginine","HMDB0000670","9085","27747","C01924","5640","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"homocitrulline","Homocitrulline","HMDB0000679","65072","17443","C02427","46","N[C@@H](CCCCNC(N)=O)C(O)=O","1"
"3-hydroxydecanoate","3-Hydroxycapric acid","HMDB0002203","26612","132983",NA,"6544","CCCCCCCC(O)CC(=O)O","1"
"EDTA","Edetic Acid","HMDB0015109","6049","42191","C00284",NA,"C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O","1"
"N-acetylglycine","Acetylglycine","HMDB0000532","10972","40410",NA,"5517","CC(=O)NCC(O)=O","1"
"ribonate","Ribonic acid","HMDB0000867","5460677","21077","C01685","3290","OC[C@@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"threonate","Threonic acid","HMDB0000943","151152","49059","C01620","5891","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"indoleacetate","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"1-linoleoylglycerol (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-methylhistidine","1-Methylhistidine","HMDB0000001","92105","50599","C01152","3741","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"butyrylcarnitine (C4)","NA","NA","NA","NA","NA","NA","NA","0"
"isobutyrylcarnitine (C4)","NA","NA","NA","NA","NA","NA","NA","0"
"androsterone sulfate","Androsterone sulfate","HMDB0002759","159663","83037",NA,"3559","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)OS(=O)(=O)O","1"
"indolepropionate","Indole-3-propionic acid","HMDB0002302","3744","43580",NA,"6602","OC(=O)CCC1=CNC2=C1C=CC=C2","1"
"trigonelline (N'-methylnicotinate)","NA","NA","NA","NA","NA","NA","NA","0"
"dodecanedioate (C12-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyltyrosine","N-Acetyl-L-tyrosine","HMDB0000866","68310","21563","C01657",NA,"CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"3-methylxanthine","3-Methylxanthine","HMDB0001886","70639","62207","C16357","2820","CN1C2=C(NC=N2)C(=O)NC1=O","1"
"3-hydroxylaurate","beta-hydroxylauric acid","HMDB0000387","94216","36206",NA,"5376","CCCCCCCCCC(O)CC(=O)O","1"
"pyridoxate","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"gamma-glutamylvaline","L-gamma-glutamyl-L-valine","HMDB0011172","7015683","68848",NA,NA,"CC(C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"pyroglutamylvaline","PyroGlu-Val","HMDB0094651","152416","132991",NA,NA,"CC(C)[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O","1"
"3-hydroxysebacate","3-Hydroxysebacic acid","HMDB0000350","3017884","89182",NA,"5339","O=C(O)CCCCCCC(O)CC(=O)O","1"
"propionylglycine","Propionylglycine","HMDB0000783","98681","89836",NA,"5749","CCC(=O)NCC(O)=O","1"
"propionylcarnitine (C3)","NA","NA","NA","NA","NA","NA","NA","0"
"pro-hydroxy-pro","NA","NA","NA","NA","NA","NA","NA","0"
"3-hydroxy-2-ethylpropionate","2-Ethylhydracrylic acid","HMDB0000396","188979","741550",NA,"3785","CCC(CO)C(=O)O","1"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","NA","NA","NA","NA","NA","NA","NA","0"
"docosapentaenoate (n3 DPA; 22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"docosadienoate (22:2n6)","Docosadienoate (22:2n6)","HMDB0061714","5312554","75117","C16533",NA,"CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O","1"
"adrenate (22:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"10-undecenoate (11:1n1)","NA","NA","NA","NA","NA","NA","NA","0"
"myristoleate (14:1n5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-methyl-4-imidazoleacetate","Methylimidazoleacetic acid","HMDB0002820","75810","1606","C05828","3774","CN1C=C(N=C1)CC(=O)O","1"
"sebacate (C10-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"stearidonate (18:4n3)","NA","NA","NA","NA","NA","NA","NA","0"
"5-dodecenoate (12:1n7)","NA","NA","NA","NA","NA","NA","NA","0"
"octanoylcarnitine (C8)","NA","NA","NA","NA","NA","NA","NA","0"
"decanoylcarnitine (C10)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylglutamine","N-Acetylglutamine","HMDB0006029","182230","21553",NA,NA,"CC(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"N-acetyltryptophan","N-acetyltryptophan","HMDB0013713","700653","74640",NA,NA,"CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"N-acetylphenylalanine","N-Acetyl-L-phenylalanine","HMDB0000512","74839","16259","C03519","5498","CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"1-palmitoyl-GPC (16:0)","LysoPC(16:0)","HMDB0010382","460602","72998","C04230",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"1-margaroyl-GPC (17:0)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylarginine","NA","NA","NA","NA","NA","NA","NA","0"
"piperine","Piperine","HMDB0029377","638024","28821","C03882",NA,"O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1","1"
"myristoylcarnitine (C14)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-GPC (18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-GPC (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylthreonine","N-Acetylthreonine","HMDB0062557","152204","45826",NA,NA,"C[C@@H](O)[C@H](NC(C)=O)C(O)=O","1"
"N-acetylisoleucine","N-Acetylisoleucine","HMDB0061684","7036275","21555",NA,NA,"CC[C@H](C)[C@H](NC(C)=O)C(O)=O","1"
"10-nonadecenoate (19:1n9)","NA","NA","NA","NA","NA","NA","NA","0"
"10-heptadecenoate (17:1n7)","NA","NA","NA","NA","NA","NA","NA","0"
"epiandrosterone sulfate","Epiandrosterone sulfate","HMDB0062657","9929317","83040",NA,NA,"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OS(O)(=O)=O","1"
"N-acetylhistidine","N-Acetylhistidine","HMDB0032055","75619","16437","C02997",NA,"CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"gamma-glutamylglycine","gamma-Glutamylglycine","HMDB0011667","165527","73845",NA,NA,"N[C@@H](CCC(=O)NCC(O)=O)C(O)=O","1"
"gamma-glutamyltryptophan","gamma-Glutamyltryptophan","HMDB0029160","3038501","133028",NA,NA,"N[C@@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O","1"
"stachydrine","Stachydrine","HMDB0004827","7016563","35280","C10172","7089","C[N+]1(CCC[C@H]1C(=O)[O-])C","1"
"alpha-hydroxyisovalerate","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823","60645",NA,"5396","CC(C)C(C(=O)O)O","1"
"gamma-glutamylmethionine","N-gamma-Glutamylmethionine","HMDB0034367","7009567","82965",NA,NA,"CSCC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"gamma-glutamylthreonine","gamma-Glutamylthreonine","HMDB0029159","53861142","133747",NA,NA,"C[C@@H](O)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"p-cresol sulfate","p-Cresol sulfate","HMDB0011635","4615423","82914",NA,NA,"CC1=CC=C(OS(O)(=O)=O)C=C1","1"
"erythronate","Erythronic acid","HMDB0000613","2781043","37655",NA,"5586","OC[C@@H](O)[C@@H](O)C(O)=O","1"
"eicosenoate (20:1)","NA","NA","NA","NA","NA","NA","NA","0"
"linolenate [alpha or gamma; (18:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"aconitate [cis or trans","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-GPC (14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidoyl-GPC (20:0)","NA","NA","NA","NA","NA","NA","NA","0"
"stearoylcarnitine (C18)","NA","NA","NA","NA","NA","NA","NA","0"
"laurylcarnitine (C12)","NA","NA","NA","NA","NA","NA","NA","0"
"isovalerylcarnitine (C5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPC (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1,7-dimethylurate","NA","NA","NA","NA","NA","NA","NA","0"
"N1-methylinosine","1-Methylinosine","HMDB0002721","65095","19065",NA,"3780","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O","1"
"N2,N2-dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919","19289",NA,"7086","CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"N4-acetylcytidine","N4-Acetylcytidine","HMDB0005923","107461","70989",NA,NA,"CC(=O)NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"N6-carbamoylthreonyladenosine","N6-Carbamoyl-L-threonyladenosine","HMDB0041623","92021849",NA,NA,NA,"C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"orotidine","Orotidine","HMDB0000788","92751","25722","C01103","5754","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","17884","C04148",NA,"NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"4-hydroxyhippurate","4-Hydroxyhippuric acid","HMDB0013678","151012","71018",NA,NA,"OC(=O)CNC(=O)C1=CC=C(O)C=C1","1"
"5,6-dihydrouridine","5,6-Dihydrouridine","HMDB0000497","94312","23774",NA,"5483","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(=O)NC1=O","1"
"3-(3-amino-3-carboxypropyl)uridine","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonylglycerol (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"cysteine-glutathione disulfide","Cysteineglutathione disulfide","HMDB0000656","53477713","143243",NA,"5628","C(CC(=O)N[C@@H](CSSCC(C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N","1"
"5-methyluridine (ribothymidine)","NA","NA","NA","NA","NA","NA","NA","0"
"isovalerylglycine","Isovalerylglycine","HMDB0000678","546304","70984",NA,"5647","CC(C)CC(=O)NCC(O)=O","1"
"7-methylguanine","7-Methylguanine","HMDB0000897","11361","28664","C02242",NA,"CN1C=NC2=C1C(=O)N=C(N)N2","1"
"1-stearoyl-GPE (18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"N1-Methyl-2-pyridone-5-carboxamide","N1-Methyl-2-pyridone-5-carboxamide","HMDB0004193","69698","27410","C05842","7025","CN1C=C(C=CC1=O)C(N)=O","1"
"gamma-glutamylisoleucine","L-gamma-glutamyl-L-isoleucine","HMDB0011170","22885096","68434",NA,NA,"CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"oleoylcarnitine (C18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"2-methylbutyrylcarnitine (C5)","NA","NA","NA","NA","NA","NA","NA","0"
"phenol sulfate","Phenyl hydrogen sulfate","HMDB0060015","74426","27905","C02180",NA,"OS(=O)(=O)OC1=CC=CC=C1","1"
"1-palmitoleoyl-GPC (16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"glutamine_degradant","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxy-3-methylvalerate","2-Hydroxy-3-methylpentanoic acid","HMDB0000317","10796774","89228",NA,"5306","CC[C@@H](C)[C@H](C(=O)O)O","1"
"homostachydrine","Stachydrine","HMDB0004827","7016563","35280","C10172","7089","C[N+]1(CCC[C@H]1C(=O)[O-])C","1"
"1-arachidonoyl-GPC (20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-dihomo-linolenoyl-GPC (20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-dihomo-linoleoyl-GPC (20:2)","LysoPC(20:2(11Z,14Z))","HMDB0010392","52924053","83055","C04230",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"2-arachidonoyl-GPC (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"2-oleoyl-GPC (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"2-linoleoyl-GPC (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"2-palmitoyl-GPC (16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"2-myristoyl-GPC (14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-docosahexaenoyl-GPC (22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPE (16:0)","LysoPE(16:0/0:0)","HMDB0011503","9547069","73004",NA,NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"1-oleoyl-GPE (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPE (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPE (20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylcitrulline","N-Acetylcitrulline",NA,"656979",NA,NA,NA,NA,"1"
"2-hydroxypalmitate","NA","NA","NA","NA","NA","NA","NA","0"
"docosapentaenoate (n6 DPA; 22:5n6)","NA","NA","NA","NA","NA","NA","NA","0"
"gulonate","Gulonic acid","HMDB0003290","152304","87753","C00800","344","OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"isobutyrylglycine","Isobutyrylglycine","HMDB0000730","10855600","70979",NA,"5698","CC(C)C(=O)NCC(O)=O","1"
"glutarylcarnitine (C5-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"tiglylcarnitine (C5:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"hydroquinone sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"catechol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","NA","NA","NA","NA","NA","NA","NA","0"
"tetradecanedioate (C14-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"hexadecanedioate (C16-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"glycerophosphoethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","52330","C01233","5151","NCCOP(O)(=O)OCC(O)CO","1"
"ectoine","Ectoine","METPA0797",NA,"27592","C06231",NA,NA,"1"
"2-oleoyl-GPE (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"2-palmitoyl-GPE (16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidonoyl-GPI (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPI (16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"glycolithocholate sulfate","Sulfolithocholylglycine","HMDB0002639","53477756",NA,"C11301","6725","C[C@H](CCC(=O)NCC(=O)O)C1CCC2[C@@]1(CCC3C2CCC4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C","1"
"taurolithocholate 3-sulfate","Taurolithocholic acid 3-sulfate","HMDB0002580","440071","17864","C03642","6716","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)OS(=O)(=O)O)C)C","1"
"deoxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","134","1941","C01181","6043","C[N+](C)(C)CCCC(=O)O","1"
"1-ribosyl-imidazoleacetate","NA","NA","NA","NA","NA","NA","NA","0"
"2-arachidonoyl-GPE (20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"hexanoylglutamine","NA","NA","NA","NA","NA","NA","NA","0"
"N6-acetyllysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"dihomo-linolenate (20:3n3 or n6)","NA","NA","NA","NA","NA","NA","NA","0"
"mannitol/sorbitol","NA","NA","NA","NA","NA","NA","NA","0"
"tryptophan betaine","Lenticin","HMDB0061115","442106","5832","C09213",NA,"C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O","1"
"4-vinylphenol sulfate","4-Vinylphenol sulfate","HMDB0062775","6426766","82931",NA,NA,"OS(=O)(=O)OC1=CC=C(C=C)C=C1","1"
"4-ethylphenylsulfate","4-ethylphenylsulfate","HMDB0062551","20822574","82932",NA,NA,"CCC1=CC=C(OS(O)(=O)=O)C=C1","1"
"thymol sulfate","Thymol Sulfate","HMDB0062720","12456386","82911",NA,NA,"CC(C)C1=C(OS(O)(=O)=O)C=C(C)C=C1","1"
"2-linoleoyl-GPE (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-GPI (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPI (18:2)","LysoPI(18:2(9Z,12Z)/0:0)","HMDB0240597",NA,"133077",NA,NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"dimethylarginine (SDMA + ADMA)","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylserine","N-Acetylserine","HMDB0002931","65249","45441",NA,"308","CC(=O)N[C@@H](CO)C(O)=O","1"
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)","PE(18:0/18:1(9Z))","HMDB0008993","9546742",NA,"C00350",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"4-allylphenol sulfate","4-Allylphenol sulfate","HMDB0170765","66633409","133096",NA,NA,"OS(=O)(=O)OC1=CC=C(CC=C)C=C1","1"
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","PE(16:0/18:2(9Z,12Z))","HMDB0008928","9546747",NA,"C00350",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"sphinganine-1-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"glycosyl-N-stearoyl-sphingosine (d18:1/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"succinylcarnitine (C4-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin (E,E)","NA","NA","NA","NA","NA","NA","NA","0"
"bilirubin (E,Z or Z,E)","NA","NA","NA","NA","NA","NA","NA","0"
"N-methylproline","N-Methyl-proline","HMDB0094696","643474","90344",NA,NA,"CN1CCC[C@H]1C(O)=O","1"
"beta-cryptoxanthin","beta-Cryptoxanthin","HMDB0033844","6384256","10362","C08591",NA,"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(CC(CC2(C)C)O)C)/C)/C","1"
"5alpha-androstan-3beta,17beta-diol disulfate","NA","NA","NA","NA","NA","NA","NA","0"
"5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate","HMDB0094650","5748360","133119",NA,NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)OS(O)(=O)=O","1"
"glycocholenate sulfate","Glycocholenate sulfate",NA,"145453482",NA,NA,NA,NA,"1"
"taurocholenate sulfate","Taurocholenate sulfate",NA,"145453483",NA,NA,NA,NA,"1"
"androstenediol (3beta,17beta) disulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"pregnenediol disulfate (C21H34O8S2)","NA","NA","NA","NA","NA","NA","NA","0"
"androstenediol (3beta,17beta) disulfate (2)","NA","NA","NA","NA","NA","NA","NA","0"
"21-hydroxypregnenolone disulfate","NA","NA","NA","NA","NA","NA","NA","0"
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","NA","NA","NA","NA","NA","NA","NA","0"
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"androstenediol (3alpha, 17alpha) monosulfate (2)","NA","NA","NA","NA","NA","NA","NA","0"
"androstenediol (3alpha, 17alpha) monosulfate (3)","NA","NA","NA","NA","NA","NA","NA","0"
"androstenediol (3beta,17beta) monosulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"androstenediol (3beta,17beta) monosulfate (2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-docosahexaenoyl-GPE (22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-docosapentaenoyl-GPC (22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"pregnenediol sulfate (C21H34O5S)","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB0059655","43","17084","C02630",NA,"OC(CCC(O)=O)C(O)=O","1"
"gamma-CEHC","gamma-CEHC","HMDB0001931","15887183",NA,NA,NA,"CC1=C(O)C=C2CCC(C)(CCC(O)=O)OC2=C1C","1"
"N-acetyl-beta-alanine","N-Acetyl-beta-alanine","HMDB0061880","76406","16682","C01073",NA,"CC(=O)NCCC(O)=O","1"
"sphingomyelin (d18:1/18:1, d18:2/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl sphingomyelin (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"3-hydroxyhippurate","3-Hydroxyhippuric acid","HMDB0006116","450268","70824",NA,NA,"OC(=O)CNC(=O)C1=CC=CC(O)=C1","1"
"16a-hydroxy DHEA 3-sulfate","16a-hydroxy DHEA 3-sulfate","HMDB0062544","20848951","87774",NA,NA,"[H][C@@]12C[C@@H](O)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O","1"
"pregnenolone sulfate","Pregnenolone sulfate","HMDB0000774","20845972",NA,NA,"5740","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)OS(=O)(=O)O)C)C","1"
"andro steroid monosulfate C19H28O6S (1)","NA","NA","NA","NA","NA","NA","NA","0"
"ergothioneine","Ergothioneine","HMDB0003045","5351619","4828","C05570","53","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O","1"
"1-margaroyl-GPE (17:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-GPC (15:0)","NA","NA","NA","NA","NA","NA","NA","0"
"13-HODE + 9-HODE","NA","NA","NA","NA","NA","NA","NA","0"
"tridecenedioate (C13:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"4-cholesten-3-one","Cholestenone","HMDB0000921","91477","16175","C00599","3898","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C","1"
